archive,task_id,classification,archive_sha256,backup_path,source,canonical_source_sha256,test,canonical_test_sha256,member_count,original_test_log_present,corrected_during_integration,correction,testsRun,failures,errors,skipped,integration
BIE_PED_ADAPT_001.zip,BIE-PED-ADAPT-001,ORIGINAL ROADMAP L1,da52747332ef049f768dbbc9659014a1d05e3a62cab464a631b6b4a33b748b3f,backups/ingested/BIE_PED_ADAPT_001.zip,bie/pedagogy/learner_profile_contract.py,114b735c3189ee243d38488b78eda0c925341f85039712512d6d13dacfa7fbd0,tests/pedagogy/test_ped_adapt_001.py,931c242d519e21d008c72b99670708a738847c5438488e1e4063c99581a85f0c,7,True,False,,2,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_ADAPT_002.zip,BIE-PED-ADAPT-002,ORIGINAL ROADMAP L1,e72a48569321af040d96491462fa9cb33e24a1cacc354104d907ca8996a38b31,backups/ingested/BIE_PED_ADAPT_002.zip,bie/pedagogy/mastery_state.py,fb0894185e83ff1e654b6e54e57335ce2a799e27e67ad9d9998c6c788908ce12,tests/pedagogy/test_ped_adapt_002.py,12d72a0b537422a0c1b8affa80d9041cceadd8dd9d835ed0f9656557b94b92a1,7,True,False,,1,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_ADAPT_003.zip,BIE-PED-ADAPT-003,ORIGINAL ROADMAP L1,1fab5544bdc9670b8a1530799f7332c091f7827310129191578cb0458f18111c,backups/ingested/BIE_PED_ADAPT_003.zip,bie/pedagogy/remediation_path.py,47d95d834527ee17f2262a23889186ac82fdff698dcdc68acc2fd35c0f18abef,tests/pedagogy/test_ped_adapt_003.py,ffc8462349f370d68daf07b8f1b3cfa22f1a5a947a9b51265ed4ce453f473626,7,True,False,,2,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_ADAPT_004.zip,BIE-PED-ADAPT-004,ORIGINAL ROADMAP L1,a6c259f36a9f53c6512416aca1803d2704ab17fc20175a4aa0d73abc8df37646,backups/ingested/BIE_PED_ADAPT_004.zip,bie/pedagogy/acceleration_path.py,da7943a23561ab298d30b3abdadb57aebec624be1d1ee3836ea68902794e29ca,tests/pedagogy/test_ped_adapt_004.py,03792b07e4c6896bd86080dede29447d6154fcb75879eadaad24671398cf3595,7,True,False,,2,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_ADAPT_005.zip,BIE-PED-ADAPT-005,ORIGINAL ROADMAP L1,4fd827efd361920b2b2341d1375615d51b957ee826d32c14c8f1e028d4f5ac61,backups/ingested/BIE_PED_ADAPT_005.zip,bie/pedagogy/repetition_policy.py,f8165fdbafaecbeea7142c78c21582e27557db89d31d6eb30be1a5e1a87d9f93,tests/pedagogy/test_ped_adapt_005.py,4bd6a5347287f8b1f4591415ec926ecf3bf0ee8c61e0f19782ec95b4b331ef54,7,True,False,,2,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_ADAPT_006.zip,BIE-PED-ADAPT-006,ORIGINAL ROADMAP L1,7ffe77b8d31057a25634df9aeb582a7fb577ca76164efc702c8cfa41cae5bc7f,backups/ingested/BIE_PED_ADAPT_006.zip,bie/pedagogy/learner_choice_branches.py,f8eb9e5a458db8081c1d40d17d7937218187aa816cebaf0743b8809a9a66c9b7,tests/pedagogy/test_ped_adapt_006.py,d4461d06ab45ce7c26d268e769a8b87ec33acda6efcb445f5ef0584ffaba1fe0,7,True,False,,1,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_ASSESS_001.zip,BIE-PED-ASSESS-001,ORIGINAL ROADMAP L1,e131788966b110a78a0b4a3bb5e7d13f513943d85664656b9b41e77f4d334434,backups/ingested/BIE_PED_ASSESS_001.zip,bie/pedagogy/formative_checks.py,ee5402d582bc447a24c44315a49d91abe61432f89081380ac56e0059d3980e9b,tests/pedagogy/test_ped_assess_001.py,c078bc3cf67cc88f0f1ad6b70a91b3beeb4ea0260a6518135db4594c453e8b8b,7,True,False,,1,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_ASSESS_002.zip,BIE-PED-ASSESS-002,ORIGINAL ROADMAP L1,801ba7dfae2b08c1813d4e14288fec872fcd15424e1f95c2266e98d7ef7586ec,backups/ingested/BIE_PED_ASSESS_002.zip,bie/pedagogy/retrieval_questions.py,e15d871af7621ff42550deee52836f6330f5164e1ba9b0940cc1683f44e8f18c,tests/pedagogy/test_ped_assess_002.py,2e546e78f87ca66f61a1c104eb236d6381659a5e5c1854b17e39d889fe3786d3,7,True,False,,2,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_ASSESS_003.zip,BIE-PED-ASSESS-003,ORIGINAL ROADMAP L1,2d3c54706a686e078d372af110b049b6eb1ed81f91cdd42431fa71805f952af4,backups/ingested/BIE_PED_ASSESS_003.zip,bie/pedagogy/transfer_questions.py,eb923aedc5013af0715ee24afe54b4395c2b109a3262dcc6237db77406e5f150,tests/pedagogy/test_ped_assess_003.py,36d90d1452fa560ab3a35672ac1af9eecad8cbbc58a2920b134692decf9763bb,7,True,False,,2,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_ASSESS_004.zip,BIE-PED-ASSESS-004,ORIGINAL ROADMAP L1,fa4439137f74b54475f7a81ef02664f74286ffbb0351f01d6560197c9dd94dc0,backups/ingested/BIE_PED_ASSESS_004.zip,bie/pedagogy/diagnostic_checks.py,f8f9872d10a132f2c30171083a0925d47d1061399a6a195f5bdbd098dc5ffbcc,tests/pedagogy/test_ped_assess_004.py,d42b9847cefe37e9fa7abe51d84585506479a89ef8f69f39b90f1fcbb317fc72,7,True,False,,1,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_ASSESS_005.zip,BIE-PED-ASSESS-005,ORIGINAL ROADMAP L1,1f70c16ef0904d3296d2dee88c51d20273d38c9ab37a1a2aa3b7451ec924f3f2,backups/ingested/BIE_PED_ASSESS_005.zip,bie/pedagogy/mastery_checks.py,140db264ef279caef89651f5bf32f54f3731f6af4fc4a96abdd8b874943d24ba,tests/pedagogy/test_ped_assess_005.py,f258f6df76e5e9e432b9794ba077159f1a79267c849bc0fcb1600ce653513361,7,True,False,,2,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_ASSESS_006.zip,BIE-PED-ASSESS-006,ORIGINAL ROADMAP L1,5772b96a4d474835ed43463a5e5da342ca0883de6cb7a2e214e29cc0cd936e87,backups/ingested/BIE_PED_ASSESS_006.zip,bie/pedagogy/assessment_difficulty.py,b1db304638d3891e0f2fbebd9a89fd83680c29dfce59ddd816674983ab83012a,tests/pedagogy/test_ped_assess_006.py,876cee9db277bda6f59e841c0125553b6c4549154eb3670e1678cb12852538ca,7,True,False,,1,0,0,0,CANONICAL_LOCAL_VERIFIED
